,city_page
165,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
166,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
167,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
168,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
169,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
170,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
171,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
172,"{'display_name': 'Cikarang, Indonesia', 'id': '146430925411104'}"
173,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
174,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
175,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
176,"{'display_name': 'Pengasinan, Jawa Barat, Indonesia', 'id': '110148885671671'}"
177,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
178,"{'display_name': 'Cikarang, Indonesia', 'id': '146430925411104'}"
179,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
180,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
181,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
182,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
183,"{'display_name': 'Cikarang, Indonesia', 'id': '146430925411104'}"
184,"{'display_name': 'Depok', 'id': '106187686078679'}"
185,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
186,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
187,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
188,"{'display_name': 'Depok', 'id': '106187686078679'}"
189,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
190,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
191,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
192,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
193,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
194,"{'display_name': 'Cianjur Regency', 'id': '140827019261867'}"
195,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
196,"{'display_name': 'Binong, Indonesia', 'id': '136562986405352'}"
